amount,currency,userId,paymentStatus,paymentType
2140.46,PLN,2582,NEW,TRANSFER
1203.25,PLN,14,NEW,CARD
2812.72,EUR,3829,FAILED,BLIK
3756.34,USD,1580,PAID,TRANSFER
2585.65,PLN,2193,NEW,BLIK
1439.92,EUR,3899,NEW,BLIK
2068.82,USD,4754,NEW,TRANSFER
4787.52,EUR,1489,FAILED,BLIK
3456.02,EUR,797,PAID,BLIK
1479.97,PLN,4351,FAILED,TRANSFER
3911.21,USD,3531,NEW,BLIK
4141.92,EUR,2599,FAILED,CARD
2306.77,USD,2562,FAILED,CARD
28.15,PLN,4061,NEW,TRANSFER
1502.74,PLN,488,NEW,TRANSFER
3958.91,EUR,3571,NEW,CARD
3113.21,USD,3823,FAILED,CARD
2448.41,USD,192,NEW,TRANSFER
3566.12,USD,2966,NEW,CARD
75.52,USD,1821,PAID,TRANSFER
2980.55,USD,915,NEW,CARD
1232.89,EUR,524,PAID,BLIK
4313.06,USD,1909,NEW,CARD
3539.23,USD,1959,PAID,CARD
1819.69,EUR,3194,FAILED,TRANSFER
333.4,PLN,3532,NEW,BLIK
3010.0,EUR,755,PAID,BLIK
3313.3,PLN,105,NEW,BLIK
2047.22,EUR,3509,PAID,CARD
130.68,PLN,3987,FAILED,CARD
2618.41,PLN,683,PAID,BLIK
2778.09,PLN,2819,FAILED,CARD
1674.06,PLN,3484,FAILED,CARD
1326.0,PLN,3868,NEW,CARD
1922.64,PLN,297,PAID,TRANSFER
2969.39,PLN,2263,FAILED,CARD
1136.48,USD,1235,PAID,CARD
2930.31,USD,408,NEW,CARD
4161.92,PLN,383,PAID,TRANSFER
4218.92,EUR,4882,PAID,TRANSFER
185.31,USD,2855,PAID,CARD
2479.46,EUR,3479,NEW,CARD
2698.16,PLN,4349,NEW,TRANSFER
551.17,EUR,852,PAID,TRANSFER
1164.21,EUR,3784,FAILED,CARD
3602.19,PLN,2604,PAID,TRANSFER
3821.06,EUR,3174,FAILED,TRANSFER
1796.54,USD,555,PAID,TRANSFER
2917.78,USD,1654,FAILED,TRANSFER
2802.38,PLN,2497,NEW,TRANSFER
4771.86,EUR,2028,FAILED,CARD
2479.1,EUR,601,NEW,BLIK
3358.74,EUR,3925,FAILED,TRANSFER
3458.58,EUR,2155,NEW,BLIK
3293.55,USD,3876,FAILED,TRANSFER
1820.38,USD,3823,PAID,TRANSFER
928.42,EUR,3831,PAID,BLIK
2369.4,USD,861,FAILED,TRANSFER
1591.48,USD,981,PAID,TRANSFER
878.81,EUR,4600,PAID,BLIK
4507.86,EUR,1035,PAID,CARD
4665.16,PLN,3414,NEW,CARD
1890.61,USD,4954,FAILED,BLIK
994.28,EUR,4369,PAID,CARD
3296.49,PLN,2952,FAILED,CARD
2377.94,USD,804,PAID,TRANSFER
2992.16,EUR,4434,FAILED,BLIK
1217.91,PLN,4229,NEW,BLIK
552.79,PLN,3793,PAID,CARD
347.45,USD,3629,FAILED,BLIK
4184.41,EUR,2054,NEW,TRANSFER
1572.55,USD,3407,NEW,CARD
3911.91,USD,4004,PAID,TRANSFER
357.5,PLN,2035,PAID,CARD
2163.52,USD,4186,FAILED,TRANSFER
2033.37,PLN,855,FAILED,TRANSFER
696.05,EUR,1306,NEW,TRANSFER
2688.73,USD,1684,PAID,BLIK
2187.37,EUR,1772,FAILED,BLIK
2349.61,PLN,427,FAILED,BLIK
3758.44,USD,4264,FAILED,BLIK
378.02,PLN,1489,PAID,TRANSFER
2871.5,USD,2326,FAILED,TRANSFER
2389.82,USD,1828,NEW,CARD
3019.91,EUR,2581,FAILED,TRANSFER
3950.32,EUR,4936,PAID,TRANSFER
3465.32,PLN,3856,FAILED,TRANSFER
3745.78,EUR,2696,PAID,BLIK
1631.86,PLN,1651,FAILED,BLIK
2443.01,USD,2434,NEW,TRANSFER
3227.46,EUR,673,PAID,BLIK
1033.88,PLN,2775,FAILED,TRANSFER
3325.76,EUR,2275,NEW,CARD
657.15,PLN,2904,PAID,BLIK
3881.21,PLN,45,PAID,BLIK
1284.66,USD,1500,PAID,BLIK
460.4,USD,2393,PAID,TRANSFER
1465.42,EUR,3184,PAID,BLIK
4403.37,EUR,2812,FAILED,CARD
934.09,USD,4037,FAILED,BLIK
428.2,EUR,2152,FAILED,CARD
3361.39,USD,633,PAID,TRANSFER
1831.18,EUR,3894,FAILED,CARD
4555.11,USD,2446,FAILED,BLIK
3099.02,USD,3437,FAILED,TRANSFER
1668.42,USD,1795,FAILED,TRANSFER
2226.37,PLN,1474,NEW,CARD
1427.37,USD,911,FAILED,CARD
2730.33,EUR,4740,FAILED,CARD
4962.57,EUR,1559,FAILED,CARD
1869.79,USD,2431,FAILED,CARD
4355.62,EUR,2346,FAILED,BLIK
2590.52,USD,4791,PAID,CARD
4358.9,USD,3355,NEW,BLIK
456.98,USD,883,NEW,BLIK
2578.27,USD,2959,PAID,CARD
1482.71,USD,4965,PAID,BLIK
4022.24,USD,4423,PAID,BLIK
4487.42,USD,1478,PAID,CARD
916.0,EUR,3344,PAID,TRANSFER
3160.7,EUR,3167,PAID,CARD
3565.52,PLN,2503,PAID,BLIK
1057.58,EUR,1312,PAID,BLIK
911.63,PLN,3663,PAID,TRANSFER
909.65,EUR,3657,NEW,CARD
857.06,EUR,37,FAILED,CARD
1176.01,EUR,1267,FAILED,BLIK
1894.91,PLN,2302,FAILED,CARD
3855.74,PLN,4669,NEW,CARD
1286.05,USD,3827,FAILED,TRANSFER
2556.04,USD,3150,NEW,BLIK
4610.14,EUR,3142,FAILED,TRANSFER
594.92,PLN,2516,PAID,BLIK
233.09,EUR,4878,PAID,BLIK
1674.27,USD,4674,FAILED,CARD
4346.9,EUR,1900,FAILED,CARD
415.24,EUR,3830,NEW,BLIK
699.01,EUR,884,NEW,TRANSFER
253.24,EUR,2782,NEW,BLIK
4420.22,EUR,2509,NEW,BLIK
1152.2,EUR,4692,FAILED,CARD
3975.02,USD,11,NEW,BLIK
1894.37,PLN,3980,NEW,CARD
2366.64,EUR,1641,NEW,BLIK
2225.15,PLN,4166,PAID,BLIK
3496.19,USD,1499,FAILED,BLIK
4404.95,USD,4313,PAID,BLIK
3765.04,EUR,17,NEW,TRANSFER
1531.77,PLN,3430,NEW,TRANSFER
3725.22,PLN,2677,FAILED,CARD
897.57,EUR,3413,PAID,CARD
4930.83,USD,1947,FAILED,TRANSFER
1859.94,EUR,4651,PAID,BLIK
3649.5,EUR,4046,FAILED,CARD
2264.89,EUR,2905,FAILED,CARD
3969.87,USD,64,PAID,TRANSFER
909.38,PLN,3679,NEW,CARD
3397.41,PLN,1495,NEW,BLIK
1656.23,EUR,330,PAID,BLIK
4333.32,PLN,4601,FAILED,BLIK
918.21,USD,3433,NEW,CARD
1545.65,EUR,4969,FAILED,CARD
1010.25,PLN,1477,FAILED,TRANSFER
4491.03,PLN,3623,PAID,BLIK
404.07,EUR,2221,NEW,CARD
1615.92,USD,4109,NEW,BLIK
1346.94,EUR,267,PAID,BLIK
2545.65,PLN,4792,PAID,TRANSFER
4862.82,EUR,4763,NEW,BLIK
148.09,USD,3584,PAID,BLIK
3986.74,PLN,531,NEW,BLIK
4393.86,EUR,2103,NEW,CARD
3071.87,PLN,2682,PAID,TRANSFER
4404.62,PLN,1861,NEW,BLIK
2498.16,PLN,842,PAID,BLIK
1077.07,PLN,1317,NEW,BLIK
3196.75,EUR,3781,NEW,TRANSFER
4827.34,EUR,3483,NEW,TRANSFER
3673.9,USD,2663,PAID,CARD
236.04,PLN,1107,NEW,TRANSFER
1841.28,USD,2313,FAILED,BLIK
2687.21,EUR,4359,NEW,BLIK
1120.17,EUR,1470,NEW,CARD
3382.9,PLN,4277,NEW,CARD
3748.14,USD,3895,PAID,CARD
1430.44,USD,4604,NEW,BLIK
2520.4,EUR,3702,PAID,TRANSFER
3027.71,PLN,4900,NEW,CARD
429.97,EUR,3201,PAID,TRANSFER
4906.04,PLN,3150,PAID,TRANSFER
3165.7,USD,2468,NEW,CARD
851.91,PLN,3057,FAILED,BLIK
3718.67,PLN,3171,NEW,BLIK
1910.44,EUR,1593,PAID,BLIK
1612.37,USD,3664,NEW,CARD
833.49,USD,3130,PAID,TRANSFER
3620.89,PLN,989,NEW,CARD
2173.36,EUR,2181,NEW,TRANSFER
296.71,EUR,3473,NEW,BLIK
4900.39,EUR,3237,PAID,BLIK
4237.44,USD,1610,FAILED,BLIK
1278.21,EUR,3835,NEW,BLIK
1803.81,PLN,2929,FAILED,BLIK
1014.28,USD,4977,NEW,TRANSFER
4356.39,USD,2537,NEW,TRANSFER
2373.66,USD,1798,NEW,BLIK
2589.78,PLN,647,FAILED,BLIK
4970.5,EUR,3882,PAID,CARD
2280.61,EUR,386,FAILED,BLIK
4113.17,EUR,3727,FAILED,CARD
3498.8,USD,1858,NEW,CARD
1288.56,EUR,3284,PAID,CARD
3456.69,USD,2369,FAILED,BLIK
4573.56,EUR,4319,NEW,TRANSFER
1249.29,PLN,1099,PAID,TRANSFER
4062.89,PLN,2452,FAILED,TRANSFER
3199.61,PLN,4601,FAILED,BLIK
4935.83,USD,3586,NEW,CARD
181.16,PLN,2359,PAID,TRANSFER
238.62,USD,3717,PAID,CARD
4524.31,EUR,799,PAID,CARD
4702.1,USD,569,PAID,CARD
2026.57,USD,4601,NEW,BLIK
3561.18,PLN,4233,PAID,CARD
2226.51,EUR,3614,FAILED,BLIK
1898.12,USD,3315,FAILED,TRANSFER
2803.73,PLN,4502,FAILED,TRANSFER
1906.22,USD,1181,PAID,BLIK
1732.39,USD,2359,FAILED,BLIK
4379.35,PLN,1784,PAID,BLIK
4684.23,EUR,523,PAID,BLIK
858.96,EUR,1952,NEW,TRANSFER
2896.01,EUR,2221,NEW,CARD
3672.29,PLN,2465,FAILED,BLIK
3595.83,EUR,1088,NEW,CARD
3449.77,EUR,1092,FAILED,BLIK
2419.28,USD,686,PAID,TRANSFER
180.56,USD,4027,NEW,TRANSFER
3160.96,EUR,1231,PAID,CARD
944.9,EUR,703,FAILED,CARD
3925.25,EUR,3183,FAILED,BLIK
2348.73,USD,428,PAID,CARD
3245.04,USD,2862,FAILED,BLIK
1120.85,PLN,3230,FAILED,TRANSFER
4649.08,PLN,3211,PAID,BLIK
3940.43,USD,3693,NEW,BLIK
4418.78,USD,3057,PAID,TRANSFER
134.46,PLN,4315,NEW,CARD
3876.45,USD,3415,PAID,CARD
4943.03,USD,3449,FAILED,TRANSFER
1211.91,PLN,337,FAILED,TRANSFER
3108.37,EUR,4026,PAID,BLIK
1004.87,PLN,2327,FAILED,TRANSFER
2850.06,USD,341,NEW,TRANSFER
2571.77,PLN,4384,PAID,TRANSFER
3337.25,USD,890,PAID,CARD
1129.57,EUR,3895,NEW,CARD
2076.05,PLN,3686,FAILED,BLIK
289.69,PLN,2610,NEW,CARD
3067.05,USD,438,NEW,TRANSFER
4395.81,USD,121,FAILED,TRANSFER
3678.16,EUR,1864,NEW,TRANSFER
1942.91,USD,1145,PAID,TRANSFER
2542.78,PLN,1923,FAILED,CARD
179.21,USD,4615,NEW,TRANSFER
2486.22,USD,3814,PAID,TRANSFER
2083.0,USD,95,NEW,BLIK
1826.15,EUR,4168,PAID,CARD
1179.94,USD,1949,NEW,CARD
3994.27,EUR,1375,FAILED,TRANSFER
1462.72,USD,3001,FAILED,BLIK
4326.8,USD,349,NEW,TRANSFER
2367.28,EUR,3320,PAID,TRANSFER
3630.07,PLN,4305,FAILED,CARD
3773.17,PLN,4040,FAILED,CARD
4507.01,PLN,2542,NEW,CARD
3541.77,EUR,3762,FAILED,BLIK
4077.86,EUR,3365,PAID,BLIK
2019.51,USD,4357,NEW,TRANSFER
1750.02,USD,4439,PAID,TRANSFER
3201.95,USD,2522,FAILED,TRANSFER
2450.65,PLN,1544,PAID,BLIK
3996.83,EUR,4773,PAID,TRANSFER
3299.37,PLN,3854,PAID,CARD
387.48,PLN,3695,FAILED,CARD
4611.33,EUR,2956,NEW,TRANSFER
4426.82,EUR,690,PAID,TRANSFER
2213.94,PLN,397,FAILED,TRANSFER
4892.19,EUR,4466,FAILED,TRANSFER
4491.37,EUR,1936,FAILED,CARD
1298.46,USD,1243,NEW,CARD
1804.02,USD,943,FAILED,TRANSFER
3208.79,USD,2735,PAID,TRANSFER
2305.76,PLN,4886,FAILED,BLIK
4390.57,PLN,2241,PAID,TRANSFER
2546.52,USD,4984,FAILED,CARD
1476.96,PLN,1622,FAILED,CARD
2997.3,EUR,293,NEW,TRANSFER
103.89,EUR,3384,NEW,TRANSFER
2629.94,USD,1848,FAILED,BLIK
1870.58,USD,3021,NEW,TRANSFER
2945.85,USD,2586,NEW,BLIK
1829.63,PLN,4124,NEW,TRANSFER
434.22,USD,480,PAID,CARD
4652.32,USD,4391,FAILED,BLIK
1505.34,EUR,2981,FAILED,BLIK
3822.93,USD,149,PAID,CARD
1513.19,USD,4389,FAILED,TRANSFER
1938.39,USD,3686,FAILED,TRANSFER
3819.05,USD,1100,FAILED,CARD
2458.88,PLN,838,NEW,TRANSFER
3008.1,EUR,2970,NEW,CARD
2205.82,EUR,1985,NEW,CARD
2180.02,PLN,114,FAILED,BLIK
1294.68,EUR,397,PAID,TRANSFER
276.81,PLN,2547,PAID,TRANSFER
1062.06,USD,2573,NEW,TRANSFER
1869.39,EUR,3358,NEW,BLIK
4940.08,PLN,2449,FAILED,CARD
3140.85,EUR,683,NEW,TRANSFER
4510.32,PLN,142,FAILED,BLIK
2209.54,EUR,236,FAILED,CARD
3192.99,USD,4677,NEW,TRANSFER
531.25,EUR,733,FAILED,TRANSFER
3542.71,EUR,4593,NEW,BLIK
529.76,USD,2854,FAILED,TRANSFER
2521.75,PLN,4870,PAID,CARD
3979.47,PLN,1474,PAID,BLIK
2806.79,PLN,3119,NEW,TRANSFER
1418.67,PLN,4954,PAID,TRANSFER
1746.03,EUR,1579,NEW,TRANSFER
2781.68,PLN,1604,PAID,TRANSFER
4893.11,PLN,2350,NEW,CARD
4832.68,EUR,3922,NEW,BLIK
2751.97,PLN,2110,FAILED,TRANSFER
1147.78,EUR,4928,FAILED,BLIK
3968.75,EUR,1906,FAILED,BLIK
1950.5,USD,1289,NEW,CARD
2708.49,PLN,2532,FAILED,TRANSFER
2755.9,PLN,3805,NEW,BLIK
4215.66,PLN,1524,NEW,BLIK
1191.96,PLN,3603,PAID,CARD
1481.01,EUR,2020,NEW,TRANSFER
1151.61,PLN,2487,FAILED,BLIK
962.56,USD,4253,FAILED,BLIK
4756.43,USD,1333,FAILED,BLIK
83.89,EUR,2202,PAID,TRANSFER
517.27,EUR,3650,NEW,CARD
4491.43,PLN,717,PAID,TRANSFER
2115.29,USD,1754,PAID,CARD
1241.97,USD,3282,PAID,CARD
758.85,PLN,3972,PAID,TRANSFER
3859.11,EUR,2749,FAILED,TRANSFER
2502.57,PLN,542,FAILED,BLIK
2476.79,PLN,4580,PAID,TRANSFER
2673.32,EUR,2295,PAID,BLIK
1600.62,EUR,2654,NEW,TRANSFER
4602.18,USD,383,FAILED,TRANSFER
674.94,USD,1781,PAID,CARD
100.99,EUR,4960,FAILED,TRANSFER
4629.03,EUR,900,NEW,CARD
659.51,EUR,2663,NEW,BLIK
3008.08,PLN,182,PAID,CARD
1387.85,PLN,3106,NEW,BLIK
2014.38,USD,3643,PAID,CARD
651.56,PLN,3485,FAILED,CARD
4896.99,EUR,526,FAILED,BLIK
659.83,EUR,2398,NEW,BLIK
462.8,PLN,244,NEW,CARD
2592.82,EUR,4709,NEW,BLIK
4799.39,EUR,116,PAID,CARD
1154.18,USD,2829,PAID,CARD
556.62,USD,2591,NEW,BLIK
3191.36,PLN,1243,FAILED,CARD
3579.49,PLN,85,FAILED,BLIK
382.16,USD,1408,NEW,BLIK
1766.3,PLN,877,FAILED,CARD
4804.68,PLN,4578,FAILED,CARD
4601.32,EUR,3667,FAILED,CARD
3727.77,PLN,1088,NEW,TRANSFER
1992.65,USD,4049,PAID,BLIK
4030.06,EUR,2990,FAILED,TRANSFER
3914.21,EUR,1164,FAILED,TRANSFER
2883.65,EUR,2361,FAILED,TRANSFER
1115.5,USD,4774,FAILED,TRANSFER
4371.21,USD,2699,FAILED,TRANSFER
27.69,USD,431,PAID,CARD
941.31,USD,3629,PAID,BLIK
3631.31,EUR,4,PAID,BLIK
4652.06,PLN,2363,NEW,CARD
3001.16,USD,1498,NEW,CARD
3172.47,EUR,2425,FAILED,CARD
2084.27,EUR,4420,FAILED,TRANSFER
4394.69,PLN,1347,FAILED,TRANSFER
2420.42,EUR,2458,FAILED,TRANSFER
156.66,EUR,1816,FAILED,CARD
4873.82,PLN,1731,FAILED,CARD
2212.26,PLN,3796,PAID,CARD
4313.23,USD,1437,FAILED,BLIK
4360.39,EUR,3208,PAID,CARD
417.97,PLN,4115,FAILED,CARD
3402.77,EUR,659,NEW,TRANSFER
2403.89,EUR,3416,NEW,TRANSFER
388.95,USD,2995,NEW,BLIK
4446.8,PLN,3834,FAILED,BLIK
667.69,PLN,4364,FAILED,TRANSFER
2821.64,PLN,381,NEW,BLIK
3603.32,PLN,2737,NEW,BLIK
3391.66,PLN,4145,FAILED,CARD
3787.25,USD,709,PAID,CARD
4364.33,PLN,1822,PAID,BLIK
2233.84,PLN,2901,FAILED,TRANSFER
2373.43,EUR,3306,PAID,CARD
1082.62,EUR,2358,PAID,CARD
1993.97,EUR,2506,PAID,CARD
4468.12,PLN,1663,PAID,CARD
3133.06,PLN,3477,NEW,CARD
2107.42,USD,4010,PAID,BLIK
1517.22,EUR,3303,NEW,BLIK
1857.54,PLN,3387,PAID,TRANSFER
739.22,USD,979,NEW,TRANSFER
1581.4,EUR,1608,NEW,TRANSFER
67.86,USD,4845,FAILED,TRANSFER
3053.82,USD,769,NEW,CARD
3360.11,PLN,2497,NEW,CARD
2839.38,PLN,444,FAILED,CARD
3960.94,USD,887,FAILED,TRANSFER
3933.59,PLN,4671,PAID,TRANSFER
4107.32,USD,2412,FAILED,CARD
1954.33,USD,3872,PAID,BLIK
1966.15,PLN,985,FAILED,CARD
3421.46,USD,1153,NEW,BLIK
4018.49,EUR,4762,FAILED,BLIK
2308.56,PLN,991,PAID,CARD
4181.1,PLN,2741,FAILED,TRANSFER
2199.55,EUR,2189,PAID,TRANSFER
4234.02,EUR,2813,FAILED,TRANSFER
734.82,EUR,2051,FAILED,CARD
3086.64,EUR,477,PAID,TRANSFER
98.16,USD,2794,NEW,CARD
4482.45,PLN,4135,NEW,BLIK
2815.47,PLN,2406,FAILED,CARD
435.43,PLN,4982,NEW,BLIK
3686.61,EUR,3888,FAILED,TRANSFER
4724.88,PLN,3726,PAID,BLIK
960.95,EUR,2676,NEW,CARD
1585.74,EUR,4706,PAID,TRANSFER
4987.78,EUR,1308,PAID,CARD
1584.28,EUR,1458,NEW,BLIK
4705.23,PLN,721,FAILED,TRANSFER
3490.5,PLN,3108,FAILED,TRANSFER
3310.68,PLN,2874,FAILED,CARD
2434.53,PLN,3733,NEW,BLIK
243.99,EUR,1592,NEW,CARD
3454.65,USD,933,FAILED,BLIK
2337.06,PLN,494,FAILED,CARD
2501.31,PLN,2638,FAILED,TRANSFER
2600.62,USD,1474,NEW,BLIK
1718.78,USD,4834,PAID,TRANSFER
3308.98,PLN,1745,PAID,BLIK
3662.65,PLN,1701,NEW,TRANSFER
1158.43,USD,3226,NEW,CARD
2161.35,EUR,4356,PAID,TRANSFER
3603.47,EUR,231,NEW,TRANSFER
3250.67,EUR,2181,PAID,TRANSFER
2147.71,USD,903,PAID,BLIK
1791.58,USD,3511,NEW,CARD
1239.51,USD,3031,NEW,BLIK
895.84,EUR,2001,NEW,BLIK
4680.35,EUR,910,NEW,BLIK
879.41,USD,530,FAILED,CARD
4043.06,USD,1118,NEW,TRANSFER
4302.06,PLN,4336,FAILED,BLIK
494.68,EUR,2890,NEW,TRANSFER
428.91,PLN,3627,PAID,CARD
2908.19,EUR,2834,PAID,CARD
391.69,USD,2305,FAILED,CARD
2443.42,PLN,4065,PAID,BLIK
928.88,EUR,59,FAILED,BLIK
1719.62,PLN,2089,FAILED,BLIK
2739.21,EUR,4265,NEW,TRANSFER
1087.91,EUR,1927,PAID,BLIK
1409.81,EUR,4458,NEW,BLIK
2456.47,EUR,1797,PAID,BLIK
2619.93,USD,2153,PAID,BLIK
2124.9,EUR,4275,FAILED,CARD
1363.31,USD,198,FAILED,BLIK
1310.63,USD,2955,PAID,BLIK
4606.31,PLN,3716,NEW,CARD
3911.4,USD,2484,NEW,TRANSFER
3020.55,EUR,2196,PAID,BLIK
4464.88,USD,646,PAID,CARD
1432.14,USD,2987,FAILED,CARD
1496.24,EUR,1630,PAID,TRANSFER
2230.44,USD,2317,NEW,TRANSFER
1319.13,USD,245,FAILED,BLIK
3935.27,USD,660,NEW,CARD
615.15,USD,2092,PAID,TRANSFER
3916.34,PLN,1324,FAILED,TRANSFER
1825.45,PLN,1619,NEW,CARD
3177.57,USD,4442,FAILED,BLIK
4695.1,PLN,1378,PAID,TRANSFER
4825.54,EUR,1324,PAID,CARD
642.01,USD,70,NEW,BLIK
208.57,EUR,1069,FAILED,CARD
3837.29,EUR,4157,NEW,BLIK
2044.79,USD,2400,FAILED,TRANSFER
3897.03,USD,2308,NEW,TRANSFER
4141.41,USD,4849,NEW,BLIK
4816.28,PLN,150,FAILED,BLIK
1727.6,PLN,4634,PAID,TRANSFER
212.55,EUR,885,FAILED,CARD
1313.39,USD,407,FAILED,BLIK
2204.84,PLN,3871,FAILED,CARD
929.47,EUR,3690,PAID,TRANSFER
1912.74,USD,447,PAID,BLIK
2710.42,USD,4916,NEW,TRANSFER
4769.86,PLN,599,NEW,TRANSFER
3432.36,EUR,119,FAILED,BLIK
55.63,PLN,484,FAILED,TRANSFER
2276.92,PLN,1867,PAID,CARD
3614.54,PLN,2516,FAILED,BLIK
4707.86,EUR,2617,NEW,CARD
1042.8,USD,1214,NEW,CARD
4709.63,EUR,4449,PAID,BLIK
1711.27,USD,4001,PAID,BLIK
3367.35,EUR,2278,FAILED,BLIK
518.23,USD,3958,FAILED,BLIK
1665.14,USD,1925,NEW,TRANSFER
4974.39,EUR,4410,FAILED,TRANSFER
1461.18,PLN,2139,FAILED,TRANSFER
191.04,EUR,3323,NEW,BLIK
1124.57,PLN,4011,NEW,CARD
4034.74,USD,130,PAID,BLIK
4442.71,USD,4763,PAID,CARD
3987.83,USD,4397,PAID,CARD
73.36,USD,3776,NEW,BLIK
1410.4,EUR,4128,NEW,CARD
3094.39,EUR,3573,FAILED,BLIK
1441.27,PLN,691,FAILED,CARD
3491.39,USD,3161,NEW,CARD
1179.08,EUR,1087,PAID,TRANSFER
442.7,USD,4007,PAID,CARD
2661.01,USD,1583,NEW,TRANSFER
1288.58,PLN,524,NEW,TRANSFER
4256.77,USD,1042,PAID,TRANSFER
2998.52,USD,2445,PAID,BLIK
222.14,EUR,322,FAILED,BLIK
4005.14,EUR,3544,PAID,CARD
2655.92,EUR,4850,NEW,BLIK
11.72,USD,2255,NEW,BLIK
3565.04,EUR,929,NEW,BLIK
2231.83,PLN,4767,FAILED,CARD
193.1,PLN,2776,FAILED,BLIK
1348.05,PLN,4707,NEW,CARD
1675.38,USD,586,NEW,TRANSFER
3327.57,PLN,4848,FAILED,CARD
4366.82,EUR,4510,FAILED,CARD
4192.76,PLN,4506,PAID,TRANSFER
3000.77,USD,1069,FAILED,TRANSFER
4425.0,USD,118,FAILED,CARD
2421.82,EUR,2906,FAILED,CARD
3309.46,EUR,3078,FAILED,CARD
2249.21,EUR,1095,PAID,CARD
2183.41,PLN,4103,PAID,TRANSFER
4943.26,EUR,1444,PAID,TRANSFER
2091.32,PLN,4372,NEW,CARD
4428.92,USD,3202,NEW,CARD
1431.65,EUR,2757,PAID,TRANSFER
2787.52,PLN,99,NEW,TRANSFER
2190.02,PLN,3989,FAILED,CARD
4019.02,USD,2249,NEW,CARD
822.04,USD,4870,NEW,BLIK
783.01,EUR,2875,NEW,BLIK
3165.33,USD,3463,FAILED,BLIK
3158.31,EUR,844,PAID,TRANSFER
4122.9,USD,753,FAILED,CARD
4907.63,EUR,1419,PAID,BLIK
1446.83,USD,4933,NEW,CARD
1090.74,PLN,57,NEW,CARD
1050.08,USD,1721,NEW,TRANSFER
418.93,EUR,745,PAID,TRANSFER
374.98,PLN,4538,PAID,BLIK
1168.69,USD,2348,NEW,TRANSFER
2453.08,EUR,1600,FAILED,CARD
3063.48,USD,3744,NEW,TRANSFER
4161.92,USD,1829,NEW,BLIK
1648.82,PLN,4313,PAID,CARD
1785.31,EUR,2485,NEW,TRANSFER
3666.22,PLN,2588,FAILED,BLIK
965.88,USD,4851,NEW,CARD
172.35,EUR,4726,PAID,TRANSFER
4539.78,EUR,448,PAID,CARD
4011.35,EUR,1107,FAILED,TRANSFER
479.84,PLN,1852,FAILED,BLIK
3588.73,EUR,2189,FAILED,TRANSFER
277.04,USD,1674,PAID,TRANSFER
2277.0,USD,2153,FAILED,BLIK
2911.52,USD,4001,NEW,TRANSFER
3081.55,PLN,1428,FAILED,TRANSFER
3341.23,EUR,1181,NEW,CARD
2467.16,PLN,4024,PAID,TRANSFER
2123.3,EUR,3569,FAILED,TRANSFER
3930.29,USD,4508,NEW,TRANSFER
4073.5,PLN,4200,NEW,CARD
159.37,PLN,1790,NEW,TRANSFER
399.74,PLN,2569,NEW,TRANSFER
